【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
49                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-14      236.0       475.0      24.0
50                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-15      252.0       494.0      25.0
51                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-16      269.0       518.0      26.0
52                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-17      253.0       539.0      26.0
53                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-18      231.0       548.0      26.0
54                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-19      231.0       562.0      26.0
55                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-20      233.0       584.0      26.0
56                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-21      242.0       609.0      26.0
57                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-22      252.0       634.0      27.0
58                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-23      240.0       663.0      27.0
59                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-24      259.0       678.0      27.0
60                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-25      247.0       712.0      27.0
61                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-26      264.0       726.0      28.0
62                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-27      212.0       736.0      28.0
63                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-28      267.0       750.0      30.0
64                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-29      270.0       766.0      30.0
65                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-30      225.0       773.0      31.0
66                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-01      245.0       782.0      31.0
67                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-02      171.0       789.0      31.0
68                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-03      197.0       795.0      31.0
69                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-04      140.0       803.0      31.0
70                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-05      270.0       820.0      31.0
71                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-06      255.0       832.0      31.0
72                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-07      275.0       842.0      31.0
73                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-08      238.0       850.0      31.0
74                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-09      224.0       856.0      31.0
75                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-10      170.0       868.0      31.0
76                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-11      121.0       872.0      31.0
77                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-12      243.0       876.0      31.0
