【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
3399                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-24        NaN         1.0       NaN
3400                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-25        NaN         1.0       NaN
3401                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-26        NaN         1.0       NaN
3402                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-27        NaN         1.0       NaN
3403                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-28        NaN         1.0       NaN
3404                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-02-29        NaN         1.0       NaN
3405                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-01       82.0         2.0       NaN
3406                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-02      317.0         8.0       NaN
3407                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-03      538.0        13.0       NaN
3408                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-04      701.0        23.0       NaN
3409                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-05      773.0        50.0       NaN
3410                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-06     1119.0       109.0       NaN
3411                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-07      475.0       169.0       NaN
3412                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-08      483.0       200.0       NaN
3413                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-09      610.0       239.0       NaN
3414                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-10      804.0       267.0       NaN
3415                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-11     1108.0       314.0       3.0
3416                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-12     1438.0       314.0       3.0
3417                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-13     2524.0       559.0       3.0
3418                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-14     2171.0       689.0       4.0
3419                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-15     1269.0       886.0       4.0
3420                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-16     1892.0      1058.0       5.0
3421                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-17     2255.0      1243.0      10.0
3422                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-18     2714.0      1486.0      14.0
3423                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-19     3395.0      1795.0      21.0
3424                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-20     3120.0      2257.0      37.0
3425                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-21     2276.0      2815.0      67.0
3426                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-22     1414.0      3401.0      75.0
3427                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-23     3322.0      3743.0      88.0
3428                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-24     3975.0      4269.0     122.0
3429                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-25     4282.0      4937.0     178.0
3430                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-26     4363.0      6235.0     220.0
3431                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-27     4930.0      7284.0     289.0
3432                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-28     3850.0      9134.0     353.0
3433                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-29     2419.0     10836.0     431.0
3434                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-30     4101.0     11899.0     513.0
3435                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-03-31     6432.0     12775.0     705.0
3436                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-01     5891.0     13964.0     828.0
3437                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-02     6088.0     15348.0    1011.0
3438                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-03     6718.0     16770.0    1143.0
3439                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-04     5368.0     18431.0    1283.0
3440                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-05     3828.0     19691.0    1447.0
3441                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-06     5840.0     20814.0    1632.0
3442                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-07     7509.0     22194.0    2035.0
3443                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-08     7972.0     23403.0    2240.0
3444                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-09     8224.0     24983.0    2523.0
3445                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-10     8537.0     26667.0    3019.0
3446                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-11     8148.0     28018.0    3346.0
3447                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-12     7287.0     29647.0    3600.0
3448                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-13     6698.0     30589.0    3903.0
3449                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-14     8163.0     31119.0    4157.0
3450                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-15    10984.0     33573.0    4440.0
3451                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-16    10742.0     34809.0    4857.0
3452                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-17    11300.0     36138.0    5163.0
3453                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-18    10312.0     37183.0    5453.0
3454                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-19     7200.0     38496.0    5683.0
3455                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-20    11916.0     39983.0    5828.0
3456                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-21    10878.0     40956.0    5998.0
3457                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-22    15588.0     41889.0    6262.0
3458                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-23    17379.0     42797.0    6490.0
3459                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-24    19068.0     44293.0    6679.0
3460                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-25    17193.0     45325.0    6917.0
3461                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-26    13879.0     46134.0    7094.0
3462                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-27    17472.0     46687.0    7207.0
3463                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-28    20371.0     47334.0    7331.0
3464                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-29    22660.0     47859.0    7501.0
3465                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-04-30    24870.0     48519.0    7594.0
3466                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-01    23551.0     49032.0    7703.0
3467                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-02    16482.0     49517.0    7765.0
3468                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-03    13430.0     49906.0    7844.0
3469                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-04    23199.0     50267.0    7924.0
3470                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-05    21521.0     50509.0    8016.0
3471                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-06    20762.0     50781.0    8339.0
3472                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-07    22031.0     51420.0    8415.0
3473                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-08    25882.0     52011.0    8521.0
3474                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-09    21012.0     52596.0    8581.0
3475                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-10    12301.0     53081.0    8656.0
3476                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-11    11055.0     53449.0    8707.0
3477                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-12    20515.0     53779.0    8761.0
3478                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-13    23140.0     53981.0    8843.0
3479                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-14    20263.0     54288.0    8903.0
3480                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-15    20884.0     54644.0    8959.0
3481                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-16    14425.0     54989.0    9005.0
3482                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-17    10103.0     55280.0    9052.0
3483                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-18    10710.0     55559.0    9080.0
3484                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-19    16701.0     55791.0    9108.0
3485                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-20    18759.0     55983.0    9150.0
3486                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-21     9878.0     56235.0    9186.0
3487                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-22    13278.0     56511.0    9212.0
3488                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-23     9227.0     56810.0    9237.0
3489                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-24     7022.0     57092.0    9280.0
3490                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-25     9982.0     57342.0    9312.0
3491                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-26    16225.0     57455.0    9334.0
3492                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-27    17772.0     57592.0    9364.0
3493                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-28    13090.0     57849.0    9388.0
3494                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-29    13616.0     58061.0    9430.0
3495                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-30     9729.0     58186.0    9453.0
3496                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-05-31     6795.0     58381.0    9467.0
3497                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-01     5438.0     58517.0    9486.0
3498                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-02    10656.0     58615.0    9505.0
3499                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-03    14800.0     58685.0    9522.0
3500                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-04    12842.0     58767.0    9548.0
3501                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-05    13083.0     58907.0    9566.0
3502                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-06    11865.0     59072.0    9580.0
3503                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-07     7307.0     59226.0    9595.0
3504                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-08    11013.0     59348.0    9606.0
3505                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-09    15085.0     59437.0    9619.0
3506                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-10    14326.0     59569.0    9629.0
3507                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-11    13941.0     59711.0    9636.0
3508                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-12    13743.0     59819.0    9646.0
3509                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-13    12521.0     59918.0    9650.0
3510                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-14     6245.0     60029.0    9655.0
3511                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-15    11905.0     60100.0    9661.0
3512                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-16    15194.0     60155.0    9663.0
3513                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-17    15312.0     60244.0    9675.0
3514                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-18    13959.0     60348.0    9683.0
3515                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-19    13395.0     60476.0    9695.0
3516                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-20    12534.0     60550.0    9696.0
3517                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-21     6602.0     60550.0    9696.0
3518                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-22    11129.0     60550.0    9696.0
3519                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-23    17383.0     60810.0    9713.0
3520                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-24    18466.0     60898.0    9722.0
3521                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-25    15202.0     61007.0    9726.0
3522                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-26    14554.0     61106.0    9731.0
3523                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-27    10950.0     61209.0    9732.0
3524                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-28     6184.0     61295.0    9732.0
3525                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-29    11992.0     61361.0    9732.0
3526                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-06-30    16062.0     61427.0    9747.0
3527                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-01    15172.0     61509.0    9754.0
3528                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-02    13607.0     61598.0    9761.0
3529                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-03    12376.0     61727.0    9765.0
3530                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-04    10003.0     61838.0    9771.0
3531                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-05     5800.0     62016.0    9771.0
3532                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-06    10721.0     62058.0    9774.0
3533                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-07    13924.0     62058.0    9774.0
3534                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-08    13859.0     62123.0    9776.0
3535                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-09    12535.0     62210.0    9778.0
3536                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-10    12022.0     62357.0    9781.0
3537                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-11     9290.0     62469.0    9782.0
3538                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-12     5622.0     62707.0    9782.0
3539                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-13    10241.0     62707.0    9782.0
3540                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-14    15070.0     62781.0    9787.0
3541                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-15    16354.0     62872.0    9788.0
3542                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-16    14479.0     63238.0    9795.0
3543                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-17    13993.0     63499.0    9800.0
3544                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-18    10449.0     63706.0    9800.0
3545                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-19     6279.0     63706.0    9800.0
3546                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-20    11901.0     64094.0    9805.0
3547                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-21    11987.0     64258.0    9805.0
3548                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-22    13283.0     64627.0    9808.0
3549                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-23    18285.0     64847.0    9812.0
3550                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-24    18678.0     65199.0    9817.0
3551                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-25    14507.0     65727.0    9821.0
3552                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-26    10981.0     66026.0    9821.0
3553                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-27    14560.0     66428.0    9822.0
3554                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-28    25521.0     66662.0    9833.0
3555                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-29    25480.0     67335.0    9836.0
3556                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-30    26134.0     68006.0    9840.0
3557                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-07-31    21530.0     68751.0    9841.0
3558                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-01    20418.0     69402.0    9845.0
3559                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-02    11695.0     69849.0    9845.0
3560                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-03    16827.0     70314.0    9850.0
3561                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-04    25451.0     70648.0    9852.0
3562                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-05    26379.0     71158.0    9859.0
3563                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-06    23195.0     72016.0    9861.0
3564                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-07    22826.0     72784.0    9866.0
3565                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-08    16668.0     73401.0    9870.0
3566                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-09     9956.0     74152.0    9872.0
3567                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-10    17036.0     74620.0    9879.0
3568                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-11    25658.0     75008.0    9885.0
3569                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-12    22073.0     75647.0    9900.0
3570                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-13    21859.0     76191.0    9916.0
3571                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-14    18676.0     77113.0    9924.0
3572                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-15    12981.0     77869.0    9935.0
3573                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-16     8932.0     78323.0    9939.0
3574                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-17    17998.0     78534.0    9944.0
3575                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-18    27111.0     78897.0    9959.0
3576                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-19    23088.0     79479.0    9969.0
3577                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-20    23852.0     80178.0    9976.0
3578                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-21    20813.0     80894.0    9985.0
3579                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-22    15631.0     81468.0    9988.0
3580                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-23     8529.0     81936.0    9992.0
3581                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-24    17609.0     82092.0    9996.0
3582                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-25    27040.0     82447.0    9996.0
3583                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-26    24596.0     83030.0    9879.0
3584                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-27    21308.0     83500.0    9884.0
3585                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-28    25114.0     83952.0    9886.0
3586                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-29    19052.0     84599.0    9891.0
3587                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-30    10600.0     85042.0    9894.0
3588                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-08-31    19657.0     85236.0    9895.0
3589                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-01    28223.0     85487.0    9897.0
3590                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-02    30069.0     85911.0    9898.0
3591                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-03    24017.0     86544.0    9899.0
3592                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-04    26583.0     87174.0    9901.0
3593                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-05    19740.0     87825.0    9906.0
3594                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-06    10963.0     88367.0    9907.0
3595                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-07    23129.0     88769.0    9909.0
3596                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-08    35123.0     89141.0    9912.0
3597                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-09    35047.0     89691.0    9917.0
3598                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-10    36232.0     90568.0    9917.0
3599                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-11    38042.0     91537.0    9919.0
3600                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-12    27126.0     92478.0    9923.0
3601                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-13    19155.0     93455.0    9925.0
3602                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-14    29307.0     94306.0    9927.0
3603                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-15    42303.0     94795.0    9930.0
3604                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-16    46674.0     95948.0    9935.0
3605                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-17    43222.0     97976.0    9936.0
3606                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-18    41428.0     99649.0    9937.0
3607                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-19    26392.0    100748.0    9944.0
3608                  Belgium         Europe  50.50    4.47     10      5.64    3.01  46420.7    11372068     41          19 2020-09-20    21874.0    102295.0    9948.0
